,name,address,review_count,rating,price,categories,latitude,longitude,yelp_id,hours,name_input,address_input,city_input
371,Auntie Anne's,,35.0,3.0,$,Pretzels,33.8640729,33.8640729,py6YOZ5RqEBEzp1yvWtE3Q,,AUNTIE ANNE,141 LOS CERRITOS MALL # #B,CERRITOS
372,Bistro of Santa Monica,,147.0,3.5,$$,"Italian, Seafood, Wine Bars",34.030941,34.030941,5yuqLZZTtQQtXruvHw-Bfg,,BISTRO OF SANTA MONICA,2301 SANTA MONICA BLVD,SANTA MONICA
373,Chris's Burgers,,549.0,4.0,$,"Burgers, Fast Food, Hot Dogs",34.05418,34.05418,5LQEjlFYSIMz0CQz9YgqDQ,,CHRIS'S BURGERS,13737 E AMAR RD,LA PUENTE
374,La Tequila Restaurant,,78.0,2.5,$$,"Mexican, Seafood",33.9891720127817,33.9891720127817,xb3vZdQN_tR3JxjVOl1Afw,,LA TEQUILA RESTAURANT,5624 ATLANTIC BLVD,MAYWOOD
375,The 4th Dimension,,93.0,3.5,$$,"Sports Bars, Pool Halls, Karaoke",34.1482275,34.1482275,akH4byLNQCi9nPxlc5v9sg,,4TH DIMENSION,326 S MYRTLE AVE,MONROVIA
376,Gorditas Durango Mexican Grill,,46.0,3.0,$,"Mexican, Latin American",34.221011,34.221011,J6-zzryTkqShCQLS8TerlQ,,GORDITAS DURANGO MEXICAN GRI,14650 ROSCOE BLVD STE 1&2,PANORAMA CITY
377,Noe Restaurant and Bar,,533.0,4.0,$$$,"Bars, French, Music Venues",34.0526399,34.0526399,vsVGA4-vCEHCBi6RUK_WFA,,NOE RESTAURANT,251 S OLIVE ST,LOS ANGELES
378,Fuente Restaurant,,42.0,3.5,$,"Mexican, Salvadoran",33.9866103629108,33.9866103629108,CyJTSB0KyD_0Rm7rAMxjow,,FUENTE RESTAURANT,5916 S VERMONT ST,LOS ANGELES
379,The Gumbo Pot,,802.0,2.5,$$,"Cajun/Creole, Southern, Seafood",34.071951064676,34.071951064676,OSri3nt9p42pzK2gCNNTqw,,THE GUMBO POT PREP KITCHEN,6333 W 3RD ST STE E-K12,LOS ANGELES
380,Souplantation,,425.0,3.5,$$,"Buffets, Vegetarian, Salad",34.053129,34.053129,jcdIrdgeg58VbezTxJoVBw,,SOUPLANTATION,11911 SAN VICENTE BLVD STE #116,LOS ANGELES
381,,,,,,,,,,,B. W. HOTEL LLC BAKERY,9500 WILSHIRE BLVD,BEVERLY HILLS
382,,,,,,,,,,,VIVA INTERNATIONAL INC,188 E GARVEY AVE STE D,MONTEREY PARK
383,Starbucks,,85.0,3.0,$,Coffee & Tea,33.977716,33.977716,GQWy0jqLm3jSMGmyw26OWw,,STARBUCKS COFFEE,6081 CENTER DR STE 108,LOS ANGELES
384,Yoshinoya - West Covina,,88.0,2.5,$,Japanese,34.0556651,34.0556651,f8obFVcGb8wl9Ba9keTqxg,,YOSHINOYA BEEF BOWL RESTAURA,1130 S GLENDORA AVE,WEST COVINA
385,,,,,,,,,,,SUNNY LIQUOR,1083 E MISSION BLVD,POMONA
386,The Club Bar at The Peninsula Beverly Hills,,12.0,5.0,$$$$,Bars,34.0655654168747,34.0655654168747,kMCcjfrkN-U89xj0UXiMcQ,,PENINSULA CLUB BAR,9882 S SANTA MONICA BLVD,BEVERLY HILLS
387,Shi Hai,,192.0,3.0,$$,"Dim Sum, Cantonese",34.077826,34.077826,_Nat8wD80syHqTdcQMZWKA,,SHI HAI,1412 S GARFIELD AVE,ALHAMBRA
388,Vallarta SuperMarket,,58.0,2.0,$$,Grocery,34.224502,34.224502,Z-sZK884WNVh8lDf_yt6og,,VALLARTA SUPERMARKET  TAQUERIA,8453 RESEDA BLVD,NORTHRIDGE
389,Zooma Sushi,,147.0,3.5,$$,Sushi Bars,34.01899,34.01899,A17QZwC-6MLI0uhDQIst7w,,ZOOMA SUSHI,29350 PACIFIC COAST HWY # 7,MALIBU
390,,,,,,,,,,,VEGAN PLATE,11943 VENTURA BLVD,STUDIO CITY
391,Bubba Gump Shrimp,,1202.0,3.5,$$,"Seafood, Southern",34.136058,34.136058,R5Y4lnegexOOWjEHI16IyQ,,BUBBA GUMP SHRIMP CO #355,1000 UNIVERSAL STUDIOS PLZ,UNIVERSAL CITY
392,,,,,,,,,,,BUFFET CHINA,870 E ARROW HWY,COVINA
393,,,,,,,,,,,RAD ABS SUPPLEMENTS,820 SAN BERNARDINO RD,COVINA
394,Target,,75.0,3.0,$$,"Department Stores, Furniture Stores, Electronics",34.574356,34.574356,4S-_T_luSiXFUd2b2iWnAw,,TARGET STORE,38019 E 47TH ST E,PALMDALE
395,Sage Vegan Bistro - Echo Park,,2331.0,4.0,$$,"Vegan, Brewpubs",34.077123,34.077123,L3YM8cAda9L_t_j-2C4ufA,,SAGE VEGAN BISTRO,1700 W SUNSET BLVD,LOS ANGELES
396,Food 4 Less,,34.0,3.0,$,"Grocery, Pet Stores",34.22572,34.22572,WzeD1CpETNezKRnB6qQxFA,,FOOD 4 LESS #314 -  MEAT DEPT,8530 TOBIAS AVE,PANORAMA CITY
397,WaBa Grill,,68.0,3.0,$,"Fast Food, Asian Fusion",34.11549167,34.11549167,TfVLSE9Uc3d76h1de9qesg,,WABA GRILL,3113 N SAN FERNANDO RD,LOS ANGELES
398,Big Saver Foods,,2.0,2.5,$,Grocery,33.98895,33.98895,uFiZhEVhzkR5t5oCn44e5Q,,BIG SAVER FOOD MEAT DEPT,5829 S COMPTON AVE,LOS ANGELES
399,Western Kosher,,47.0,4.0,$$,"Grocery, Meat Shops, Kosher",34.04822,34.04822,dDcSs-3CDPcurx9Kg_JwPA,,WESTERN KOSHER,4817 W PICO BLVD,LOS ANGELES
400,Marshalls,,117.0,2.5,$$,Department Stores,34.1420356497871,34.1420356497871,T9i402mh8QRWILpzgshfFw,,MARSHALLS STORE #433,11239 VENTURA BLVD,STUDIO CITY
401,Omar Restaurant,,343.0,4.0,$$,"Chinese, Halal, Uzbek",34.07762,34.07762,54snWUGRj6-vjVCW4LBvaw,,OMAR RESTAURANT,1718 NEW AVE,SAN GABRIEL
402,Señor Fish,,379.0,3.0,$,"Mexican, Seafood, Bars",34.1158449,34.1158449,-8Fc8gf-AIJhi2fFnwWSrQ,,SENIOR FISH,618 MISSION ST,SOUTH PASADENA
403,China Express,,17.0,3.0,$,Chinese,34.062233,34.062233,g4ms-0H8_FL0W20sJzcNYA,,CHINA EXPRESS,475 W HOLT AVE,POMONA
404,Wokcano Asian Grill,,52.0,3.0,$$,"Seafood, Chinese, Soup",34.0712448643056,34.0712448643056,WfQ8H32JSTsgw8SCCCzcnA,,WOKCANO ASIAN GRILL,112 PLAZA DR STE 1465,WEST COVINA
405,Toto's Lechon Manok,,116.0,3.0,$,"Filipino, Breakfast & Brunch, Fast Food",34.0307736190079,34.0307736190079,FUzt3qS-7wYCxmgIwPlR0w,,TOTOS LECHON,1545 E AMAR RD,WEST COVINA
406,King Boba,,29.0,4.0,$,"Bubble Tea, Asian Fusion, Hawaiian",34.0130741,34.0130741,4mRr_74O0bIoqQOn6FkdqQ,,KING BOBA,1828 LINCOLN BLVD,SANTA MONICA
407,Portsmouth,,443.0,4.5,$$,"Seafood, Tapas/Small Plates, Mexican",33.97558,33.97558,651znkhST67-bMPRtLKNZQ,,PORTSMOUTH,13103 PENN ST,WHITTIER
408,Subway,,57.0,3.0,$,Sandwiches,34.0976599,34.0976599,mJLgSMo9jY9CWYBFsB8TNw,,SUBWAY #1740,7040 W SUNSET BLVD STE #C,LOS ANGELES
409,Three Spice Thai Kitchen,,560.0,3.5,$$,Thai,33.88181,33.88181,jmDYEXQZrKyZBgJ0EL3g6w,,THREE SPICE,16400 S WESTERN AVE,GARDENA
410,Buy Buy Baby,,101.0,4.0,$$,Baby Gear & Furniture,34.419442832873,34.419442832873,XuK37RnF6ht5AkZjlZAbzg,,BEST BUY BABY,24267 MAGIC MOUNTAIN PKWY,VALENCIA
411,Cherri's Donut Plus,,36.0,4.5,$,"Donuts, Coffee & Tea, Sandwiches",33.8892351,33.8892351,5FQ3aydlX-dCZ6gvNKogdg,,CHERRI'S DONUTS PLUS,10216 E ALONDRA BLVD,BELLFLOWER
412,Harmony Farms,,147.0,4.5,$$,Meat Shops,34.2243799,34.2243799,jbgpYNprrjKDkghwIzeL6A,,HARMONY FARMS - MKT RETAIL,2824 FOOTHILL BLVD,LA CRESCENTA
413,,,,,,,,,,,NOPGOW THAI RESTAURANT,2551 E AVENUE S STE K,PALMDALE
414,London's Pub & Grill,,300.0,4.0,$$,"British, Pubs, Indian",33.8732049,33.8732049,zaMKFOWKFlh3lUTBcwnxGQ,,LONDON'S PUB AND GRILL,11651 ARTESIA BLVD,ARTESIA
415,Sam Woo BBQ,,712.0,4.0,$$,"Barbeque, Cantonese",34.187762,34.187762,vJeTE3FreD_D3CxTMSodIA,,SAM WOO BBQ RESTAURANT,6450 SEPULVEDA BLVD STE #G,VAN NUYS
416,El Tepeyac Cafe,,2228.0,4.0,$$,"Mexican, Cafes, Breakfast & Brunch",34.047744,34.047744,ZefFhlg3YlP2mG0Z6WVc0A,,EL TEPEYAC RESTAURANT,812 N EVERGREEN AVE,LOS ANGELES
417,,,,,,,,,,,HONEYBAKED,11405 JEFFERSON BLVD,CULVER CITY
418,P & G Market,,5.0,4.5,$$,Grocery,33.9057159423828,33.9057159423828,CbGg3J-eyz9v_fBCEmaWeg,,P & G MARKET,640 W PEACH ST,COMPTON
419,Pavilions,,172.0,3.0,$$,"Grocery, Pharmacy",33.9968001,33.9968001,hN-VYzmEcxaLU3nrK-ft7Q,,PAVILIONS #2212 STARBUCKS,11030 W JEFFERSON BLVD,CULVER CITY
420,The Bicycle Hotel & Casino,,345.0,3.5,$$,"Casinos, Hotels",33.966167,33.966167,KYFAXpI92pNUzeeSRJSMVA,,BICYCLE CASINO RESTAURANT,888 BICYCLE CASINO DR,BELL GARDENS
421,,,,,,,,,,,7-11 FOOD STORE #13896A,27761 BOUQUET CANYON RD,SANTA CLARITA
422,Angelino's Pizza,,36.0,3.5,$,Pizza,34.04027,34.04027,LwXpUoRXJvi5sTGx0t9l7A,,ANGELINO'S PIZZA,2201 W WASHINGTON BLVD,LOS ANGELES
423,Subway,,36.0,2.5,$,Sandwiches,34.127789,34.127789,K89LInoss8HPRwe1L956rw,,SUBWAY 20648,3007 E HUNTINGTON DR STE #102,PASADENA
424,Pressed Juicery,,283.0,4.0,$$,"Juice Bars & Smoothies, Vegan, Health Markets",34.14347,34.14347,NBqw5G5Pm2qJwa1lVUmc9Q,,PRESSED JUICERY,132 CARUSO WAY,GLENDALE
425,El Poblano Meat Market,,1.0,1.0,,Butcher,33.9844365662679,33.9844365662679,qTzHJUVgsggEsVZCatRTWw,,EL POBLANO MEAT MARKET,6109 S HOLMES AVE,LOS ANGELES
426,,,,,,,,,,,SPRINKLERS CUPCAKES,420 N LA CIENEGA BLVD,LOS ANGELES
427,Good Shine Kitchen,,139.0,4.0,$,"Chinese, Taiwanese",34.0601366,34.0601366,daKKDDMfnk5vDz6fUGRdiQ,,GOOD SHINE KITCHEN,235 S GARFIELD AVE,MONTEREY PARK
428,Feng Mao Lamb Kebab - Olympic,,566.0,4.5,$$,"Chinese, Korean, Barbeque",34.053617,34.053617,p1O9sw9QdnKn1cV2FEmmhw,,FENG MAO,3901 W OLYMPIC BLVD,LOS ANGELES
429,The Golden Owl,,314.0,4.5,$,"Burmese, Bubble Tea, Vegetarian",34.044362,34.044362,5QUl55rMsnSVSGM_yLlGFg,,THE GOLDEN OWL,16423 MAPLEGROVE ST,LA PUENTE
430,Los Jarritos Restaurants,,682.0,3.5,$,Mexican,34.1057296335185,34.1057296335185,qkRdHaiamT9W9cfPEl73Nw,,LOS JARRITOS,3191 N GAREY AVE,POMONA
431,Galaxy Sports Bar,,3.0,3.0,,Sports Bars,34.06911,34.06911,kFW4YF2QVwkHFy5RU5qjYQ,,GALAXY SPORT BAR,656 S SUNSET AVE,WEST COVINA
432,Jun Won Restaurant,,212.0,4.5,$$,Korean,34.057573,34.057573,Mc9xMwSGokORq4hFCWuU0w,,JUN WON,3100 W 8TH ST STE #101,LOS ANGELES
433,The Crow's Nest Sports Grille,,149.0,4.0,$$,"Sports Bars, American (Traditional), Breakfast & Brunch",34.2500237,34.2500237,U7mPfP2ic8LcgRqq3v1pSg,,THE CROWS NEST SPORTS GRILLE,7279 FOOTHILL BLVD,TUJUNGA
434,Acton Plaza Liquor,,3.0,3.0,,"Beer, Wine & Spirits",34.493521,34.493521,6eORgIEqzGqUU9EFePQcRQ,,ACTON PLAZA LIQUOR,3813 SIERRA HWY # 203,ACTON
435,The Vitamin Shoppe,,92.0,3.5,$$,Vitamins & Supplements,34.07452,34.07452,uALE3JgtGmCTq25UYFH99Q,,THE VITAMIN SHOPPE,101 N FAIRFAX AVE,LOS ANGELES
436,Knight Life Liquor Jr Market,,7.0,2.5,,"Beer, Wine & Spirits",34.2084949,34.2084949,nXOfSXZLnCyelA5cTxp8jg,,KNIGHT LIFE LIQUOR,19245 SATICOY ST,RESEDA
437,,,,,,,,,,,"ZARATE, JOSE",2250 S ATLANTIC BLVD STE P,COMMERCE
438,,,,,,,,,,,SWEET 1 BAKERY,13668 OXNARD ST,VAN NUYS
439,Jack in the Box,,38.0,2.0,$,"Fast Food, Burgers, Tacos",33.931244344299,33.931244344299,-co8ZARJkj8TS2K0XG3AwA,,JACK IN THE BOX 232,4737 W IMPERIAL HWY,INGLEWOOD
440,Taqueria Tijuana,,113.0,4.5,$,Mexican,33.974841,33.974841,9EebmPfSytjnkpf5_pXPqw,,TAQUERIA TIJUANA,241 W FLORENCE AVE,LOS ANGELES
441,The Hat,,710.0,4.0,$$,"Sandwiches, American (Traditional), Burgers",34.0372126650315,34.0372126650315,ilUxHLaYrS3HLmfYHMOf4A,,THE HAT,2300 S ATLANTIC BLVD,MONTEREY PARK
442,Starbucks,,78.0,2.5,$$,Coffee & Tea,33.774773,33.774773,SPej14NU9rz_7I5KePWbrw,,STARBUCKS COFFEE #518,46 PENINSULA CTR STE A,ROLLING HILLS ESTATES
443,Will's Jamaican Cuisine,,158.0,4.0,$$,Caribbean,33.97133,33.97133,kC678OrfpeTMV3sSz4GpMw,,WILLS JAMAICAN CUISINE,630 N LA BREA AVE # 103,INGLEWOOD
444,Los Angeles Convention Center,,364.0,3.5,,"Venues & Event Spaces, Party & Event Planning",34.040329,34.040329,wFxDli2tlPCRbPU42S-o1g,,LA CONVENTION CENTER STAND D - COMMISSARY FOR MSU,1201 S FIGUEROA ST,LOS ANGELES
445,Stater Bros. Markets,,46.0,3.5,$$,"Grocery, Butcher, Delis",34.0362579,34.0362579,AWg5uTDWYI6aaSir213HUg,,STATER BROS #54 (MEAT ),1025 E AMAR RD,WEST COVINA
446,,,,,,,,,,,TACOS MEXICO,804 PLAZA DR,WEST COVINA
447,Benihana - Dignity Health Sports Park,,1.0,5.0,,"Sushi Bars, Bars, Japanese",33.86438,33.86438,2IcuqHlsF6h2MeGof6DbPQ,,DIGNITY HEALTH SPORTS PARK - THE MARKET #14,18400 AVALON BLVD STE 300,CARSON
448,Bob's Liquor,,8.0,2.5,$$,"Beer, Wine & Spirits",34.2087707519531,34.2087707519531,dm3yrXt8rbDRh1s-bbkPMw,,BOB'S LIQUOR,17315 SATICOY ST,NORTHRIDGE
449,Winchell's Donuts,,19.0,1.5,$,"Donuts, Coffee & Tea, Sandwiches",33.9708251953125,33.9708251953125,NYa4b9a_P9df9A5CQ8LUKg,,WINCHELL'S DONUT HOUSE,11330 WASHINGTON BLVD,WHITTIER
450,Los Alazanes,,36.0,4.5,$,Mexican,33.9801241457462,33.9801241457462,jfvG4z0rpQribe__IeGpBA,,LOS ALAZANES,6756 PASSONS BLVD,PICO RIVERA
451,McDonald's,,81.0,1.5,$,"Fast Food, Burgers, Coffee & Tea",34.2185492899028,34.2185492899028,6xC9S_NjCYStc4c2Jfr55g,,MCDONALD'S STORE #11204,8139 SUNLAND BLVD,SUN VALLEY
452,Viceroy L'Ermitage Beverly Hills,,125.0,4.0,$$$,Hotels,34.07262,34.07262,JaKE4hImbq17xSgNV-nUBQ,,L'HERMITAGE VICEROY HOTEL,9291 BURTON WAY,BEVERLY HILLS
453,Krust Bakery &Cafe,,201.0,4.5,$,"Coffee & Tea, Bakeries, Breakfast & Brunch",33.82335,33.82335,se317gADw_GTw1ipk7YYUQ,,KRUST,1300 S PACIFIC COAST HWY 182,REDONDO BEACH
454,Rocky Cola Cafe,,366.0,3.0,$$,"Diners, American (Traditional)",33.9792503395383,33.9792503395383,3bSQqDWm4j4KQLvLBtjqAQ,,ROCKY COLA CAFE,6757 GREENLEAF AVE,WHITTIER
455,Mi Zacatecas,,267.0,4.0,$,Mexican,33.916232,33.916232,2Mh2g5H25OEqN5Eq4Q6xOQ,,MI ZACATECAS MEXICAN FOOD,12808 INGLEWOOD AVE,HAWTHORNE
456,Domino's Pizza,,51.0,2.5,$,"Pizza, Chicken Wings, Sandwiches",34.2497686,34.2497686,R7sZQqZeCKpSysMwAZwKOw,,DOMINO'S PIZZA,9874 DE SOTO AVE,CHATSWORTH
457,Pinkberry,,89.0,3.5,$,Ice Cream & Frozen Yogurt,34.20128,34.20128,LYTqyonsLZXi7Qd26FYMig,,PINKBERRY,712 FOOTHILL BLVD,LA CANADA FLINTRIDGE
458,Seasons 52,,372.0,4.0,$$,"American (New), Wine Bars, Breakfast & Brunch",34.0125981428174,34.0125981428174,8TDDOpPJsW8lrMdHxlO2fg,,SEASON'S 52,1501 OCEAN AVE,SANTA MONICA
459,99 Ranch Market,,188.0,3.5,$$,"Seafood Markets, Fruits & Veggies, International Grocery",34.097697,34.097697,jtAGlM5JdmBcHOMsDqOKaw,,99 RANCH MARKET #38 - SUSHI,345 E MAIN ST,ALHAMBRA
460,Vons,,149.0,2.0,$$,Grocery,34.050655,34.050655,en_61W8IpvY0zW7ev1yyFQ,,VONS #2268 DELI,1430 S FAIRFAX AVE,LOS ANGELES
461,Rude Dog Bar & Grill,,305.0,2.5,$$,"Music Venues, Sports Bars, Hot Dogs",34.08664,34.08664,fqhMmzBy9RPqz6YTQKpedw,,RUDE DOGS,114 N CITRUS AVE,COVINA
462,Barrel & Ashes,,1320.0,3.5,$$,"Barbeque, American (Traditional), Breakfast & Brunch",34.14226,34.14226,4WsG7089Gx8ogjNvExxBCA,,BARREL AND ASHES,11801 VENTURA BLVD,STUDIO CITY
463,Forty Carrots,,24.0,4.0,$$,"Coffee & Tea, Ice Cream & Frozen Yogurt, Juice Bars & Smoothies",34.01369,34.01369,7rIZoTGtGMrpuu9freHvtw,,FORTY CARROTS/BLOOMINGDALES,315 COLORADO AVE,SANTA MONICA
464,7-Eleven,,14.0,3.5,$,Convenience Stores,34.0343236900925,34.0343236900925,8JYlkWRFuEvvCbs5lRWEYg,,7- ELEVEN #27069,11666 W OLYMPIC BLVD,LOS ANGELES
465,Sprouts Farmers Market,,227.0,3.5,$$,"Grocery, Health Markets, Organic Stores",34.266632,34.266632,W6XD7qt8adu_MjAIsufCPw,,SPROUTS #223 DELI DEPT,10821 ZELZAH AVE,GRANADA HILLS
466,El Super,,27.0,2.0,$$,Grocery,33.95577,33.95577,22V7MUwUjTJ5FfanZa2A1A,,EL SUER #27-BAKERY DEPT.,3211 FIRESTONE BLVD,SOUTH GATE
467,China Bowl,,14.0,3.0,$,Chinese,33.955993,33.955993,K0-E3GLvosAwjhV5G8lLBA,,CHINA FOOD EXPRESS,3223 FIRESTONE BLVD,SOUTH GATE
468,Superior Grocers,,60.0,3.0,$,"Grocery, Bakeries, Meat Shops",34.021969,34.021969,fhlaqvOwW43wb5LdpJtweA,,SUPERIOR SUPERWAREHOUSE-MEAT,151 S HACIENDA BLVD,LA PUENTE
469,Bar Marmont,,477.0,3.5,$$$,"American (New), Lounges, Burgers",34.09827,34.09827,KWDOHiIiVfK0gyCrX2QBIw,,BAR MARMONT,8171 W SUNSET BLVD,LOS ANGELES
470,,,,,,,,,,,G AND Z MARKET,8165 ARROYO DR,ROSEMEAD
471,Fishing With Dynamite,,1406.0,4.5,$$$,"Seafood, Tapas Bars, American (Traditional)",33.88539,33.88539,a9ap769whqOdl0LT3koAig,,FISHING WITH DYNAMITE,1148 MANHATTAN AVE,MANHATTAN BEACH
472,Dunes Inn Sunset,,50.0,3.5,$$,Hotels,34.09846,34.09846,67t9_gKJhA7CkytmUR6FzQ,,DUNES RESTAURANT,5625 W SUNSET BLVD,LOS ANGELES
473,Rock'N Fish,,1213.0,3.5,$$,"Seafood, Gastropubs, American (New)",34.0445128974681,34.0445128974681,LflKiZyF57UEm2CYcfJ2ww,,ROCK N FISH,800 W OLYMPIC BLVD STE A160,LOS ANGELES
474,,,,,,,,,,,SUBWAY #20714,1000 E VICTORIA ST,CARSON
475,,,,,,,,,,,CITY OF LAWNDALE KITCHEN,14700 BURIN AVE,LAWNDALE
476,Primo's Expresso Americana,,11.0,4.5,$,Coffee & Tea,34.04973,34.04973,1MOlsPPkcsPp5nI6nYdwUg,,PRIMO'S EXPRESSO AMERICAN,333 S SPRING ST #F3,LOS ANGELES
477,Niko Sushi,,388.0,4.5,$$$,"Sushi Bars, Japanese",34.17289,34.17289,Eb9b4y-zMC3o3ko2aerHRQ,,NIKO SUSHI,19001 1/2 VENTURA BLVD,TARZANA
478,Dominique's Kitchen,,819.0,4.5,$$,French,33.83332,33.83332,z5FvyocYW0621b5vuUy5Ng,,DOMINIQUE'S KITCHEN,522 S PACIFIC COAST HWY,REDONDO BEACH
479,Tasty Wok,,33.0,4.0,$,"Szechuan, Thai, Asian Fusion",33.9151972532272,33.9151972532272,M7FSysB-VjGuczNj_4odQw,,TASTY WOK TO GO,12815 VALLEY VIEW AVE,LA MIRADA
480,Ralphs,,188.0,3.0,$$,Grocery,34.0320237174903,34.0320237174903,QZulGq646k8J1UfJbfDvhA,,RALPHS MARKET #294 - BAKERY,2600 S VERMONT AVE,LOS ANGELES
481,Carl's Jr,,64.0,2.0,$,"Fast Food, Burgers",34.21952580124168,34.21952580124168,RK39us59ifjM-ULDOj3fAw,,CARL'S JR,20900 ROSCOE BLVD,CANOGA PARK
482,Dirt Dog,,2238.0,4.5,$,"Hot Dogs, Beer Bar",34.0282923762355,34.0282923762355,0z23Jk7U_MpvtqKINPL2fA,,DIRT DOG,2528 S FIGUEROA ST,LOS ANGELES
483,Zavala Restaurant Y Taqueria,,111.0,4.0,$,Mexican,33.9139539,33.9139539,h8usmqGiVOMQPu53tuUJlw,,ZAVALA RESTAURANT & TAQUERIA,13621 GARFIELD AVE,SOUTH GATE
484,Great Wall,,285.0,3.0,$,"Chinese, Seafood, Bubble Tea",34.690436,34.690436,5G1Rb_cPFt2kJY_o3TsbDA,,GREAT WALL CHINESE RESTAURANT,2001 W AVENUE J,LANCASTER
485,Palisades Pizza,,124.0,3.5,$$,"Pizza, Italian",34.04659,34.04659,veNck9hbdtxJiVAUN6d9hg,,PALISADES PIZZA,860 VIA DE LA PAZ STE A4,PACIFIC PALISADES
486,Scrumptious Cafe & Bakery,,447.0,4.5,$$,"Bakeries, Breakfast & Brunch",34.0912524598394,34.0912524598394,MiNW-nSa_W9ED2G3wvz_Tg,,SCRUMPTIOUS CAFE & BAKERY,1111 N HAYWORTH AVE,WEST HOLLYWOOD
487,Vons,,86.0,3.0,$$,"Grocery, Pharmacy",34.1206424,34.1206424,YiUSTVnIzWynwh4o3pDKxw,,VONS #2155,550 E BASELINE RD,CLAREMONT
488,,,,,,,,,,,BELLAMAR NUTRITION,709 S ATLANTIC BLVD,LOS ANGELES
489,Costco Wholesale,,287.0,3.5,$$,Wholesale Stores,34.271801,34.271801,-6jAvANAI3BmeurY7bd9Vg,,COSTCO #1071 DELI,13550 PAXTON ST,PACOIMA
490,Hard Times Pizza,,246.0,4.0,$,"Pizza, Italian",34.078532,34.078532,YDn6HHTNJF_Q79fP0mEKQw,,HARD TIMES PIZZA,1311 N GLENDALE BLVD STE #G,LOS ANGELES
491,,,,,,,,,,,JAN'S HOUSE RESTAURANT,3026 E JEFFERSON AVE,LOS ANGELES
492,Seventeen Cafe,,82.0,4.5,$,Cafes,34.2118585689141,34.2118585689141,PFtia3ex8MXGochg18k2Ew,,SEVENTEEN CAFE,7734 SAN FERNANDO RD,SUN VALLEY
493,,,,,,,,,,,NAN JING KITCHEN,706 W LAS TUNAS DR # B5,SAN GABRIEL
494,Polleria Guadalajara,,1.0,4.0,,International Grocery,33.967700958252,33.967700958252,JtJk3kcAMmm28r8xoZoGGA,,POLLERIA GUADALAJARA,1601 NADEAU ST,LOS ANGELES
495,Texis Restaurant,,8.0,2.0,$,"Salvadoran, Mexican, Karaoke",34.0475197,34.0475197,MI6ilrDSLgg4W7ejTQjArA,,TEXIS RESTAURANT AND ENTERTAINMENT,2815 W PICO BLVD,LOS ANGELES
496,,,,,,,,,,,RALPH'S #205 BAKERY,4754 COMMONS WAY,CALABASAS
497,Raffallo's Pizza,,229.0,3.5,$$,"Pizza, Italian, Sandwiches",34.101424,34.101424,BREPgR-RgVCgTxH6R_cOug,,RAFFALLO'S PIZZA,1657 N LA BREA AVE,LOS ANGELES
498,Vons,,52.0,2.5,$$,Grocery,34.153664,34.153664,Y68-nDokXA4o3ZyfQFC3wg,,FUJISAN (INSIDE VONS #2001),5671 KANAN RD,AGOURA HILLS
499,Starbucks,,186.0,2.5,$,Coffee & Tea,34.23478,34.23478,p7VA6USrKfrXjeZT3GhOpw,,STARBUCKS,9020 N RESEDA BLVD #A,NORTHRIDGE
500,El Asador,,48.0,2.5,$$,"Latin American, Seafood, Nicaraguan",34.0427813,34.0427813,YS1UPvWopSjKqIc4_80qHw,,EL ASADOR,1225 W VENICE BLVD,LOS ANGELES
501,The Chowder Barge,,373.0,4.0,$$,"Seafood, Bars, American (Traditional)",33.777093,33.777093,CGPG6fR0s_twHHzzvjyYVw,,THE CHOWDER BARGE,611 N HENRY FORD AVE # 2001,WILMINGTON
502,,,,,,,,,,,SENORITA ABBY'S,3751 S WESTERN AVE,LOS ANGELES
503,Boca Del Rio,,167.0,4.0,$,Mexican,34.1066535,34.1066535,hUfGQAPYVnfw2rJFdkZBxg,,BOCA DEL RIO,140 E ARROW HWY,COVINA
504,,,,,,,,,,,CAFE 9800,9800 S LA CIENEGA BLVD STE 115,INGLEWOOD
505,Maricela's Bionicos Y Antojitos,,116.0,4.5,$,"Mexican, Delis",33.78973,33.78973,-FXyO5nR9X8u_DKQ_qvFEg,,MARICELA'S,1202 PACIFIC COAST HWY,HARBOR CITY
506,,,,,,,,,,,CARUSOS PIZZA,13737 FOOTHILL BLVD,SYLMAR
507,Mi California,,50.0,3.5,$$,Mexican,33.9039529,33.9039529,v4aLES3z6MSSXIj5_78zBg,,MI CALIFORNIA RESTAURANT,14047 HAWTHORNE BLVD,HAWTHORNE
508,,,,,,,,,,,GELSONS MARKET,4738 LAUREL CANYON BLVD,STUDIO CITY
509,,,,,,,,,,,BILTMORE HOTEL- BERNARDS,506 S GRAND AVE,LOS ANGELES
510,McDonald's,,57.0,2.0,$,"Fast Food, Burgers, Coffee & Tea",34.0439121051737,34.0439121051737,sbR-cqUPSKNbtaZZgqvOaQ,,MCDONALD'S #5330,13814 E VALLEY BLVD,LA PUENTE
511,McGeady's Pub,,23.0,3.5,$,"Pubs, Dive Bars, Pool & Billiards",33.7896049,33.7896049,8dRqnLwBp_uwisNhMyXzyQ,,MCGEADY'S PUB,1853 PACIFIC COAST HWY,LOMITA
512,Gloria's Country Butcher,,19.0,3.0,$$,"Grocery, Butcher",33.9307304,33.9307304,-MD7nnDyjqR1PcC4sXAHKA,,GLORIA COUNTRY BUTCHER SHOP-,12161 PARAMOUNT BLVD,DOWNEY
